"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVCaseReport","","","",0,*,"","","","","HIV monthly case report","Base definition for all elements in a resource.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"HIVCaseReport.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HIVCaseReport.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HIVCaseReport.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Unique business identifiers for the report","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.identifier",0,*,"",""
"HIVCaseReport.submitter","","","",0,1,"","","","BackboneElement {[]} {[]}
","Who submitted the report","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.submitter",0,1,"",""
"HIVCaseReport.submitter.institution","","","",0,1,"","","","Reference {[]} {[]}
","The institution that submitted the report","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.submitter.institution",0,1,"",""
"HIVCaseReport.submitter.recorder","","","",0,1,"","","","string {[]} {[]}
","The person who submitted the report","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.submitter.recorder",0,1,"",""
"HIVCaseReport.reportDate","","","",0,1,"","","","date {[]} {[]}
","Date of the Case Report","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.reportDate",0,1,"",""
"HIVCaseReport.reportNumber","","","",0,1,"","","","string {[]} {[]}
","* Case Report Number","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.reportNumber",0,1,"",""
"HIVCaseReport.reportIntro","","","",0,1,"","","","string {[]} {[]}
","Introductory note to the report","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.reportIntro",0,1,"",""
"HIVCaseReport.patientInformation","","","",0,1,"","","","","The patient's identifying information","","","","","","","","","","",,,,,"",,,,"HIVCaseReport.patientInformation",0,1,"",""
